,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
1248, 3 Series,2020,40150,Semi-Auto,319,Petrol,145,42.2,2.0
1249, 3 Series,2020,53260,Semi-Auto,347,Petrol,145,33.6,3.0
1250, X1,2016,16670,Manual,34393,Diesel,125,58.9,2.0
1251, 7 Series,2014,13840,Automatic,59640,Diesel,160,50.4,3.0
1252, 3 Series,2017,17880,Automatic,22170,Diesel,145,60.1,2.0
1253, 1 Series,2017,13480,Manual,16627,Petrol,145,53.3,1.5
1254, 3 Series,2017,20998,Semi-Auto,19822,Diesel,145,53.3,3.0
1255, 1 Series,2016,16998,Manual,24311,Petrol,300,35.3,3.0
1256, 3 Series,2015,16698,Semi-Auto,28321,Diesel,145,53.3,3.0
1257, 5 Series,2017,22998,Automatic,14295,Diesel,145,55.4,2.0
1258, X5,2016,33698,Automatic,20708,Diesel,235,42.8,3.0
1259, X5,2013,21212,Automatic,51500,Diesel,200,45.6,3.0
1260, 3 Series,2019,22052,Semi-Auto,10178,Diesel,145,55.4,2.0
1261, 3 Series,2019,22382,Semi-Auto,10142,Diesel,145,55.4,2.0
1262, X2,2019,28226,Automatic,123,Diesel,145,47.9,2.0
1263, X2,2019,28608,Automatic,123,Diesel,145,50.4,2.0
1264, 3 Series,2019,22312,Semi-Auto,7944,Diesel,145,55.4,2.0
1265, 1 Series,2017,16741,Semi-Auto,30500,Diesel,150,67.3,2.0
1266, 3 Series,2019,25936,Automatic,5948,Petrol,145,42.2,2.0
1267, X2,2019,25936,Automatic,4472,Diesel,145,50.4,2.0
1268, 3 Series,2019,29356,Automatic,3412,Diesel,145,52.3,2.0
1269, 1 Series,2017,14502,Semi-Auto,33242,Diesel,20,70.6,2.0
1270, 7 Series,2018,31322,Semi-Auto,39196,Diesel,145,54.3,3.0
1271, 4 Series,2019,30804,Semi-Auto,6903,Diesel,145,49.6,3.0
1272, X3,2016,21991,Semi-Auto,30057,Diesel,145,54.3,2.0
1273, X2,2019,29975,Automatic,123,Diesel,145,48.7,2.0
1274, X2,2019,29770,Automatic,123,Diesel,145,48.7,2.0
1275, X2,2019,29770,Automatic,123,Diesel,145,48.7,2.0
1276, X2,2019,29770,Automatic,123,Diesel,145,48.7,2.0
1277, X2,2019,29770,Automatic,123,Diesel,145,48.7,2.0
1278, 4 Series,2019,29626,Automatic,1938,Petrol,145,41.5,3.0
1279, 1 Series,2018,17992,Semi-Auto,8846,Petrol,145,37.2,1.5
1280, 1 Series,2018,17912,Semi-Auto,9673,Petrol,145,37.2,1.5
1281, X1,2019,24480,Manual,2425,Petrol,145,51.4,1.5
1282, X1,2020,29991,Semi-Auto,2000,Diesel,145,47.9,2.0
1283, 2 Series,2020,29991,Semi-Auto,1500,Petrol,145,47.9,2.0
1284, 1 Series,2016,14490,Manual,34944,Diesel,30,62.8,2.0
1285, 2 Series,2017,17572,Manual,11237,Petrol,145,44.1,2.0
1286, 4 Series,2015,13242,Manual,71179,Diesel,30,62.8,2.0
1287, 1 Series,2014,17292,Semi-Auto,35481,Petrol,235,37.7,3.0
1288, 2 Series,2019,20276,Automatic,4013,Petrol,145,53.3,1.5
1289, 1 Series,2017,19792,Automatic,15867,Diesel,145,61.4,2.0
1290, 1 Series,2018,17882,Semi-Auto,9993,Petrol,145,37.2,1.5
1291, X1,2018,24472,Semi-Auto,11253,Diesel,145,60.1,2.0
1292, X1,2017,19991,Semi-Auto,19396,Petrol,160,44.8,2.0
1293, X3,2019,42763,Semi-Auto,3844,Diesel,145,36.7,3.0
1294, 1 Series,2019,27720,Manual,123,Diesel,145,53.3,2.0
1295, 1 Series,2019,32060,Automatic,123,Diesel,145,48.7,2.0
1296, X2,2019,28608,Automatic,123,Diesel,145,50.4,2.0
1297, 2 Series,2019,21796,Automatic,11189,Diesel,145,67.3,2.0
1298, X4,2019,34526,Automatic,5744,Diesel,145,42.8,2.0
1299, 3 Series,2019,33840,Automatic,123,Petrol,145,42.2,2.0
1300, X3,2019,38020,Automatic,123,Diesel,145,54.3,2.0
1301, X3,2019,37830,Automatic,123,Diesel,145,54.3,2.0
1302, 1 Series,2019,28000,Automatic,123,Diesel,145,51.4,2.0
1303, 3 Series,2019,34370,Automatic,123,Diesel,145,50.4,2.0
1304, 1 Series,2019,26780,Manual,123,Diesel,145,53.3,2.0
1305, 4 Series,2019,29806,Automatic,1649,Petrol,145,41.5,3.0
1306, X4,2019,40016,Automatic,6648,Petrol,145,26.9,3.0
1307, 1 Series,2017,21972,Automatic,25000,Petrol,145,39.8,3.0
1308, X3,2019,31466,Automatic,6070,Diesel,145,54.3,2.0
1309, 2 Series,2019,22516,Automatic,5215,Petrol,145,47.9,2.0
1310, 2 Series,2017,14951,Manual,22887,Petrol,145,55.4,1.5
1311, 5 Series,2016,17991,Semi-Auto,30089,Diesel,125,60.1,2.0
1312, 3 Series,2017,18612,Semi-Auto,25000,Diesel,30,64.2,2.0
1313, X2,2019,30266,Automatic,123,Diesel,145,58.9,2.0
1314, X2,2019,26930,Semi-Auto,4030,Petrol,145,40.4,2.0
1315, 2 Series,2019,19420,Manual,4601,Petrol,145,44.1,1.5
1316, 2 Series,2019,21920,Semi-Auto,7060,Diesel,145,49.6,2.0
1317, 2 Series,2019,24440,Semi-Auto,5639,Diesel,145,49.6,2.0
1318, X1,2019,25020,Semi-Auto,5197,Petrol,145,38.2,2.0
1319, X6,2018,39589,Semi-Auto,12648,Diesel,145,40.9,3.0
1320, 3 Series,2019,34280,Automatic,123,Diesel,145,50.4,2.0
1321, 1 Series,2019,27730,Manual,123,Diesel,145,53.3,2.0
1322, 3 Series,2019,33910,Automatic,123,Diesel,145,50.4,2.0
1323, 2 Series,2019,24626,Automatic,123,Diesel,145,49.6,2.0
1324, 1 Series,2019,26310,Manual,123,Diesel,145,53.3,2.0
1325, 7 Series,2019,49990,Automatic,123,Diesel,145,44.8,3.0
1326, Z4,2019,30990,Semi-Auto,2389,Petrol,145,38.7,2.0
1327, X3,2019,30200,Semi-Auto,19915,Petrol,145,30.4,2.0
1328, 3 Series,2018,21800,Semi-Auto,37052,Diesel,145,51.4,3.0
1329, 3 Series,2018,24991,Semi-Auto,5243,Diesel,145,56.5,3.0
1330, 5 Series,2016,15840,Manual,33700,Diesel,125,60.1,2.0
1331, X1,2018,18502,Manual,12800,Diesel,145,68.9,2.0
1332, 4 Series,2019,27003,Manual,123,Diesel,145,62.8,2.0
1333, 5 Series,2019,35810,Automatic,123,Petrol,145,48.7,2.0
1334, X5,2019,53910,Automatic,123,Diesel,145,37.7,3.0
1335, X3,2019,38900,Automatic,123,Diesel,145,54.3,2.0
1336, X5,2017,31900,Automatic,21379,Diesel,200,47.1,3.0
1337, 3 Series,2019,36990,Semi-Auto,3501,Diesel,145,47.9,3.0
1338, 3 Series,2016,17490,Semi-Auto,21804,Diesel,125,60.1,2.0
1339, X6,2017,35990,Semi-Auto,3550,Diesel,150,44.8,3.0
1340, X2,2018,22960,Semi-Auto,6350,Diesel,150,50.4,2.0
1341, 2 Series,2018,20870,Semi-Auto,8090,Petrol,150,47.9,2.0
1342, 7 Series,2017,27100,Semi-Auto,34335,Diesel,145,54.3,3.0
1343, X1,2019,27450,Automatic,123,Petrol,145,46.3,1.5
1344, X1,2019,28410,Automatic,123,Diesel,145,60.1,2.0
1345, X3,2019,31276,Automatic,7345,Petrol,145,30.4,2.0
1346, X5,2019,44036,Automatic,11436,Diesel,145,37.7,3.0
1347, 1 Series,2020,26991,Semi-Auto,2000,Diesel,145,57.7,1.5
1348, X1,2020,29991,Semi-Auto,2000,Diesel,145,40.9,2.0
1349, 5 Series,2019,31030,Automatic,123,Diesel,145,49.6,2.0
1350, X6,2019,64772,Semi-Auto,4193,Petrol,150,26.4,3.0
1351, 4 Series,2019,22726,Automatic,9987,Diesel,145,65.7,2.0
1352, X2,2019,23976,Automatic,999,Petrol,145,38.7,2.0
1353, X1,2014,12832,Automatic,33100,Diesel,160,52.3,2.0
1354, M5,2019,68930,Automatic,123,Petrol,145,26.9,4.4
1355, 2 Series,2019,24180,Semi-Auto,4001,Diesel,145,47.1,2.0
1356, 2 Series,2019,22050,Semi-Auto,4488,Petrol,145,39.8,1.5
1357, 2 Series,2019,28861,Automatic,123,Petrol,145,39.8,3.0
1358, 3 Series,2019,34790,Automatic,123,Diesel,145,50.4,2.0
1359, X5,2019,63320,Automatic,123,Diesel,145,33.6,3.0
1360, 4 Series,2019,30766,Automatic,123,Diesel,145,60.1,2.0
1361, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0
1362, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0
1363, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0
1364, 2 Series,2016,11976,Manual,26089,Petrol,30,55.4,1.5
1365, 1 Series,2020,24852,Manual,1510,Petrol,150,41.5,1.5
1366, 3 Series,2017,17832,Semi-Auto,29943,Diesel,30,64.2,2.0
1367, 5 Series,2015,18722,Semi-Auto,30000,Diesel,165,51.4,3.0
1368, X1,2017,20251,Semi-Auto,14598,Diesel,145,60.1,2.0
1369, X5,2019,48440,Automatic,8000,Diesel,145,37.7,3.0
1370, X1,2019,27440,Manual,123,Petrol,145,39.8,1.5
1371, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0
1372, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0
1373, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0
1374, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0
1375, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0
1376, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0
1377, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0
1378, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0
1379, 1 Series,2017,15998,Semi-Auto,32317,Diesel,30,65.7,2.0
1380, 3 Series,2015,15698,Semi-Auto,47167,Diesel,125,57.6,3.0
1381, 3 Series,2016,15621,Manual,32927,Diesel,125,60.1,2.0
1382, 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5
1383, 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5
1384, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0
1385, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0
1386, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0
1387, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0
1388, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0
1389, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0
1390, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0
1391, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0
1392, 1 Series,2014,11399,Semi-Auto,56926,Diesel,30,64.2,2.0
1393, 1 Series,2016,11010,Manual,32068,Diesel,20,72.4,1.5
1394, 3 Series,2015,15570,Automatic,53669,Diesel,160,51.4,3.0
1395, 1 Series,2016,14497,Manual,9574,Diesel,30,62.8,2.0
1396, 3 Series,2018,18010,Manual,36039,Diesel,145,58.9,2.0
1397, 1 Series,2015,10499,Manual,60000,Diesel,20,70.6,1.5
1398, X3,2019,30200,Semi-Auto,17647,Petrol,145,30.4,2.0
1399, 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5
1400, 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5
1401, 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5
1402, 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5
1403, X1,2019,28180,Automatic,123,Petrol,145,39.8,1.5
1404, X1,2019,28190,Automatic,123,Petrol,145,39.8,1.5
1405, X1,2019,27440,Manual,123,Petrol,145,39.8,1.5
1406, X1,2019,27440,Manual,123,Petrol,145,39.8,1.5
1407, 4 Series,2019,30331,Automatic,123,Petrol,145,48.7,2.0
1408, 4 Series,2019,35045,Automatic,123,Diesel,145,50.4,3.0
1409, 4 Series,2019,29631,Automatic,123,Diesel,145,65.7,2.0
1410, 4 Series,2019,28088,Automatic,123,Petrol,145,48.7,2.0
1411, 5 Series,2020,27090,Semi-Auto,3168,Hybrid,145,49.6,2.0
1412, 4 Series,2019,32810,Automatic,8647,Petrol,145,41.5,3.0
1413, X2,2019,25820,Automatic,6106,Diesel,145,61.4,2.0
1414, X4,2019,41530,Automatic,4000,Diesel,145,37.2,3.0
1415, 2 Series,2019,23489,Automatic,123,Diesel,145,65.7,2.0
1416, X3,2019,32376,Automatic,2489,Diesel,145,54.3,2.0
1417, 5 Series,2019,30890,Automatic,123,Petrol,145,47.9,2.0
1418, 4 Series,2019,29361,Automatic,123,Diesel,145,65.7,2.0
1419, 5 Series,2019,29830,Automatic,123,Petrol,145,50.4,2.0
1420, X1,2019,23991,Manual,4480,Petrol,145,51.4,1.5
1421, 1 Series,2019,24160,Manual,5181,Petrol,145,41.5,1.5
1422, 1 Series,2019,31070,Automatic,6000,Petrol,145,34.5,2.0
1423, 1 Series,2020,29980,Semi-Auto,4362,Diesel,145,48.7,2.0
1424, 4 Series,2016,19742,Semi-Auto,21660,Petrol,160,45.6,2.0
1425, 5 Series,2014,15532,Semi-Auto,36919,Diesel,125,60.1,2.0
1426, X2,2019,25907,Manual,151,Diesel,150,53.3,2.0
1427, 1 Series,2017,22390,Semi-Auto,18511,Petrol,145,39.8,3.0
1428, 5 Series,2015,13980,Semi-Auto,29719,Diesel,20,68.9,2.0
1429, 2 Series,2019,21356,Semi-Auto,15006,Petrol,145,47.9,2.0
1430, 2 Series,2019,21030,Automatic,7738,Diesel,145,49.6,2.0
1431, 3 Series,2019,28820,Manual,123,Diesel,145,56.5,2.0
1432, 2 Series,2019,21858,Manual,123,Diesel,145,61.4,2.0
1433, 1 Series,2017,20481,Manual,25000,Petrol,145,36.2,3.0
1434, 5 Series,2017,25372,Semi-Auto,8500,Diesel,145,60.1,2.0
1435, 4 Series,2020,32148,Semi-Auto,16,Diesel,145,60.1,2.0
1436, 4 Series,2014,14291,Manual,29000,Petrol,200,40.9,2.0
1437, X2,2019,29770,Automatic,123,Diesel,145,48.7,2.0
1438, X2,2019,30571,Automatic,123,Diesel,145,58.9,2.0
1439, 2 Series,2019,23322,Manual,123,Petrol,145,52.3,1.5
1440, 5 Series,2017,20762,Semi-Auto,17590,Diesel,145,68.9,2.0
1441, 1 Series,2019,26720,Manual,3710,Diesel,145,53.3,2.0
1442, 2 Series,2019,25260,Semi-Auto,3697,Petrol,145,48.7,2.0
1443, X3,2019,56240,Automatic,6000,Petrol,145,24.8,3.0
1444, 4 Series,2019,24132,Semi-Auto,4000,Diesel,150,65.7,2.0
1445, 2 Series,2019,23322,Manual,123,Petrol,145,52.3,1.5
1446, 3 Series,2014,14972,Semi-Auto,33287,Diesel,145,55.4,2.0
1447, 4 Series,2019,29361,Automatic,123,Diesel,145,65.7,2.0
1448, 4 Series,2019,29361,Automatic,123,Diesel,145,65.7,2.0
1449, X2,2019,25526,Semi-Auto,5161,Diesel,145,61.4,2.0
1450, 5 Series,2019,37220,Automatic,123,Diesel,145,60.1,3.0
1451, X2,2019,22790,Automatic,8477,Diesel,145,49.6,2.0
1452, 3 Series,2019,34370,Automatic,123,Diesel,145,50.4,2.0
1453, 3 Series,2019,34370,Automatic,123,Diesel,145,50.4,2.0
1454, 1 Series,2019,27860,Automatic,14147,Diesel,145,51.4,2.0
1455, 3 Series,2019,35250,Automatic,123,Diesel,145,47.9,3.0
1456, 2 Series,2019,24269,Automatic,123,Diesel,145,49.6,2.0
1457, 1 Series,2019,27410,Automatic,123,Diesel,145,51.4,2.0
1458, 3 Series,2019,37340,Automatic,123,Diesel,145,47.9,3.0
1459, 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5
1460, 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5
1461, 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5
1462, 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5
1463, 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5
1464, 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5
1465, 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5
1466, 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5
1467, 2 Series,2019,21773,Automatic,123,Diesel,145,49.6,2.0
1468, 3 Series,2019,31790,Automatic,123,Petrol,145,42.2,2.0
1469, 4 Series,2016,26442,Semi-Auto,19344,Petrol,235,39.2,3.0
1470, 5 Series,2018,24862,Automatic,10500,Diesel,145,65.7,2.0
1471, 6 Series,2017,24622,Automatic,26000,Diesel,145,49.6,3.0
1472, X4,2019,47480,Automatic,123,Petrol,145,26.9,3.0
1473, X4,2019,47480,Automatic,123,Petrol,145,26.9,3.0
1474, 3 Series,2019,29450,Automatic,123,Diesel,145,54.3,2.0
1475, 2 Series,2019,21773,Automatic,123,Diesel,145,49.6,2.0
1476, 1 Series,2019,24142,Semi-Auto,16000,Petrol,145,39.8,3.0
1477, 2 Series,2019,22773,Automatic,123,Diesel,145,49.6,2.0
1478, 3 Series,2019,27900,Manual,123,Diesel,145,61.4,2.0
1479, 3 Series,2019,20966,Automatic,9582,Petrol,145,48.7,2.0
1480, 5 Series,2015,17002,Semi-Auto,29116,Diesel,30,62.8,2.0
1481, M4,2018,38776,Manual,8869,Petrol,145,32.1,3.0
1482, X3,2019,32822,Semi-Auto,4550,Diesel,145,54.3,2.0
1483, 2 Series,2017,22991,Semi-Auto,23730,Petrol,200,39.8,3.0
1484, X1,2019,23516,Automatic,4783,Petrol,145,46.3,1.5
1485, 2 Series,2019,26706,Semi-Auto,49,Diesel,145,57.7,2.0
1486, X3,2019,32226,Automatic,4997,Petrol,145,30.4,2.0
1487, 3 Series,2019,33990,Automatic,5621,Diesel,145,52.3,2.0
1488, 1 Series,2018,17595,Semi-Auto,26268,Petrol,145,47.9,2.0
1489, X1,2016,15500,Semi-Auto,52061,Diesel,30,65.7,2.0
1490, 2 Series,2019,21176,Manual,123,Diesel,145,65.7,2.0
1491, 1 Series,2019,21480,Automatic,123,Diesel,145,67.3,2.0
1492, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0
1493, X3,2019,38330,Automatic,123,Diesel,145,54.3,2.0
1494, X1,2017,19500,Semi-Auto,20935,Diesel,125,60.1,2.0
1495, 3 Series,2014,17000,Automatic,67455,Diesel,160,50.4,3.0
1496, 1 Series,2016,14500,Manual,21646,Petrol,125,52.3,1.5
1497, 3 Series,2017,22998,Semi-Auto,25585,Diesel,145,51.4,3.0
1498, 1 Series,2017,19498,Manual,25163,Petrol,145,36.2,3.0
1499, 1 Series,2017,21498,Semi-Auto,21564,Petrol,145,39.8,3.0
1500, 3 Series,2016,15998,Semi-Auto,67915,Diesel,160,51.4,3.0
1501, 4 Series,2017,19298,Semi-Auto,27119,Diesel,145,65.7,2.0
1502, X1,2017,20998,Semi-Auto,12624,Diesel,150,57.6,2.0
1503, X1,2016,14998,Semi-Auto,78843,Diesel,150,55.4,2.0
1504, 2 Series,2019,23462,Automatic,123,Diesel,145,67.3,2.0
1505, 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5
1506, 2 Series,2019,28861,Automatic,123,Petrol,145,39.8,3.0
1507, 2 Series,2019,22292,Manual,123,Diesel,145,64.2,2.0
1508, 2 Series,2019,22770,Manual,123,Diesel,145,64.2,2.0
1509, 3 Series,2019,32060,Automatic,123,Diesel,145,60.1,2.0
1510, 1 Series,2019,20760,Automatic,123,Petrol,145,48.7,2.0
1511, X5,2019,53150,Automatic,123,Diesel,145,37.7,3.0
1512, 2 Series,2019,23159,Automatic,123,Petrol,145,50.4,1.5
1513, 2 Series,2019,21176,Manual,123,Diesel,145,65.7,2.0
1514, 5 Series,2019,41550,Automatic,123,Petrol,145,39.2,3.0
1515, 2 Series,2019,22291,Manual,123,Diesel,145,64.2,2.0
1516, 2 Series,2019,22770,Manual,123,Diesel,145,64.2,2.0
1517, 2 Series,2019,23966,Automatic,123,Diesel,145,67.3,2.0
1518, 2 Series,2019,23976,Automatic,20,Diesel,145,67.3,2.0
1519, 1 Series,2019,19840,Semi-Auto,5077,Petrol,145,55.5,1.5
1520, X3,2019,33313,Semi-Auto,4999,Diesel,145,54.3,2.0
1521, X5,2019,49403,Semi-Auto,100,Diesel,145,37.7,3.0
1522, 3 Series,2019,40602,Semi-Auto,3980,Petrol,145,34.9,3.0
1523, 1 Series,2017,21498,Semi-Auto,19869,Petrol,150,39.8,3.0
1524, 3 Series,2017,15698,Semi-Auto,21545,Petrol,150,54.3,1.5
1525, 1 Series,2015,10998,Manual,23241,Diesel,0,83.1,1.5
1526, 1 Series,2016,14000,Manual,14574,Diesel,20,70.6,1.5
1527, 4 Series,2017,20320,Automatic,16876,Diesel,125,58.9,2.0
1528, 2 Series,2015,9995,Manual,37500,Diesel,20,68.9,2.0
1529, 5 Series,2017,18491,Semi-Auto,39128,Diesel,125,60.1,2.0
1530, 1 Series,2014,12290,Manual,32014,Diesel,30,65.7,2.0
1531, 3 Series,2017,19192,Semi-Auto,18014,Diesel,150,60.1,2.0
1532, 4 Series,2017,20892,Semi-Auto,18278,Diesel,150,60.1,2.0
1533, 1 Series,2017,21162,Semi-Auto,20508,Petrol,200,39.8,3.0
1534, 3 Series,2019,36531,Semi-Auto,6850,Petrol,145,40.4,2.0
1535, X2,2019,27982,Semi-Auto,4264,Petrol,145,39.2,2.0
1536, 1 Series,2017,20990,Semi-Auto,29934,Petrol,145,39.8,3.0
1537, 3 Series,2016,16990,Semi-Auto,44563,Diesel,125,60.1,2.0
1538, 1 Series,2017,17990,Semi-Auto,25877,Diesel,125,60.1,2.0
1539, 1 Series,2014,9692,Manual,34000,Petrol,125,52.3,1.6
1540, X3,2019,33990,Automatic,1926,Diesel,145,54.3,2.0
1541, 2 Series,2019,27990,Semi-Auto,3736,Diesel,145,48.7,2.0
1542, Z4,2019,31990,Automatic,11223,Petrol,145,37.2,2.0
1543, 4 Series,2013,12982,Semi-Auto,47852,Petrol,145,47.1,2.0
1544, 2 Series,2016,17336,Automatic,23030,Diesel,145,55.4,2.0
1545, 4 Series,2019,26922,Semi-Auto,4068,Diesel,150,65.7,2.0
1546, 3 Series,2015,15552,Semi-Auto,39029,Diesel,125,58.9,2.0
1547, X5,2019,50832,Semi-Auto,100,Diesel,145,37.7,3.0
1548, X1,2017,21312,Automatic,11253,Diesel,125,57.6,2.0
1549, X4,2019,42982,Automatic,9151,Diesel,145,37.2,3.0
1550, X1,2019,26970,Semi-Auto,10730,Diesel,145,50.4,2.0
1551, 4 Series,2016,18512,Semi-Auto,21470,Diesel,30,65.7,2.0
1552, 1 Series,2014,12272,Semi-Auto,31000,Diesel,20,67.3,2.0
1553, 5 Series,2016,15882,Semi-Auto,44000,Diesel,125,60.1,2.0
1554, 2 Series,2014,12302,Manual,31676,Diesel,125,58.9,2.0
1555, X1,2013,8795,Manual,70645,Diesel,165,51.4,2.0
1556, 2 Series,2018,15995,Semi-Auto,21815,Diesel,150,68.9,2.0
1557, 3 Series,2014,16500,Automatic,67455,Diesel,160,50.4,3.0
1558, 2 Series,2016,10465,Manual,16228,Diesel,20,68.9,2.0
1559, 2 Series,2019,18480,Manual,2771,Petrol,145,44.1,1.5
1560, 4 Series,2019,25320,Automatic,5035,Diesel,145,65.7,2.0
1561, 2 Series,2019,24500,Manual,2631,Diesel,145,55.4,2.0
1562, 2 Series,2019,21850,Manual,3000,Petrol,145,51.4,1.5
1563, 4 Series,2019,32991,Semi-Auto,5491,Petrol,145,44.8,2.0
1564, X2,2019,29770,Automatic,123,Diesel,145,48.7,2.0
1565, X2,2019,29374,Automatic,123,Diesel,145,50.4,2.0
1566, X2,2019,30361,Automatic,123,Diesel,145,48.7,2.0
1567, X2,2019,29375,Automatic,123,Diesel,145,50.4,2.0
1568, 3 Series,2019,33610,Automatic,123,Petrol,145,41.5,2.0
1569, X3,2017,20340,Automatic,30443,Diesel,145,54.3,2.0
1570, 3 Series,2018,18300,Automatic,30214,Diesel,145,62.8,2.0
1571, 2 Series,2017,20499,Semi-Auto,14612,Petrol,145,38.2,3.0
1572, X1,2014,11331,Manual,30506,Diesel,160,51.4,2.0
1573, 4 Series,2014,10749,Automatic,70116,Diesel,125,61.4,2.0
1574, 3 Series,2015,13490,Semi-Auto,63981,Diesel,30,64.2,2.0
1575, 5 Series,2015,11895,Semi-Auto,69356,Diesel,20,68.9,2.0
1576, 4 Series,2015,14395,Manual,42745,Diesel,30,62.8,2.0
1577, X1,2016,18795,Automatic,14868,Petrol,160,44.8,2.0
1578, 1 Series,2017,20750,Automatic,18347,Petrol,200,39.8,3.0
1579, 3 Series,2017,16970,Manual,24015,Diesel,125,60.1,2.0
1580, 4 Series,2017,21167,Semi-Auto,19041,Diesel,145,55.4,3.0
1581, 4 Series,2016,17870,Semi-Auto,13298,Petrol,200,42.8,2.0
1582, Z4,2015,14191,Manual,19109,Petrol,200,41.5,2.0
1583, 4 Series,2018,20397,Automatic,11068,Diesel,145,65.7,2.0
1584, X1,2016,17397,Manual,16243,Diesel,125,58.9,2.0
1585, 3 Series,2017,20962,Semi-Auto,30607,Diesel,160,51.4,3.0
1586, 3 Series,2016,20432,Semi-Auto,9939,Diesel,160,51.4,3.0
1587, 2 Series,2017,15552,Semi-Auto,56718,Diesel,145,65.7,2.0
1588, 1 Series,2016,13212,Manual,13778,Petrol,30,56.5,1.5
1589, 3 Series,2019,26832,Semi-Auto,4039,Petrol,145,42.2,2.0
1590, 3 Series,2019,27372,Semi-Auto,6336,Diesel,145,52.3,2.0
1591, 1 Series,2013,12000,Semi-Auto,17988,Petrol,150,48.7,1.6
1592, 1 Series,2016,10990,Manual,51000,Diesel,20,68.9,2.0
1593, 3 Series,2015,13990,Manual,26948,Diesel,30,61.4,2.0
1594, 4 Series,2017,21490,Semi-Auto,48957,Diesel,145,50.4,3.0
1595, 2 Series,2016,12460,Manual,24158,Petrol,30,55.4,1.5
1596, 1 Series,2016,9990,Manual,71603,Diesel,20,70.6,1.5
1597, 1 Series,2018,14390,Manual,12063,Diesel,150,50.4,2.0
1598, 2 Series,2016,18950,Automatic,22537,Petrol,260,37.2,3.0
1599, 4 Series,2014,13130,Automatic,46833,Petrol,145,47.1,2.0
1600, 3 Series,2018,21980,Semi-Auto,9684,Petrol,145,48.7,2.0
1601, 5 Series,2016,15991,Semi-Auto,21476,Diesel,30,62.8,2.0
1602, X3,2016,18991,Semi-Auto,39365,Diesel,145,54.3,2.0
1603, X1,2017,18991,Semi-Auto,29317,Diesel,145,57.6,2.0
1604, 1 Series,2015,14999,Manual,40052,Petrol,300,35.3,3.0
1605, 3 Series,2016,15510,Semi-Auto,40417,Diesel,125,60.1,2.0
1606, 1 Series,2017,22995,Semi-Auto,11950,Petrol,145,39.8,3.0
1607, 3 Series,2018,18995,Semi-Auto,31278,Diesel,145,64.2,2.0
1608, 2 Series,2016,19372,Semi-Auto,27584,Petrol,260,35.8,3.0
1609, 5 Series,2016,15122,Semi-Auto,37390,Diesel,20,68.9,2.0
1610, X3,2016,21856,Semi-Auto,20094,Diesel,145,54.3,2.0
1611, 1 Series,2015,14690,Semi-Auto,23234,Petrol,125,54.3,1.5
1612, X3,2013,13690,Semi-Auto,30400,Diesel,165,50.4,2.0
1613, 3 Series,2015,14490,Semi-Auto,28425,Diesel,125,61.4,2.0
1614, 3 Series,2016,15490,Semi-Auto,38000,Diesel,30,64.2,2.0
1615, 3 Series,2018,19495,Automatic,23830,Diesel,145,60.1,2.0
1616, X1,2016,18995,Automatic,24299,Diesel,145,55.4,2.0
1617, 3 Series,2013,8995,Manual,67000,Diesel,20,68.9,2.0
1618, X1,2017,15732,Manual,23575,Diesel,20,68.9,2.0
1619, 2 Series,2019,21402,Manual,6000,Diesel,150,51.4,2.0
