año,mes,nacion,4 y 5 estrellas,3 estrellas,2 estrellas,1 estrella,hoteleros,extrahoteleros,total
2010,3,España,4654,3375,3606,514,12149,0,12149
2010,3,Holanda,14,2,22,4,42,0,42
2010,3,Bélgica,14,10,17,6,47,0,47
2010,3,Alemania,89,74,154,71,388,0,388
2010,3,Francia,37,56,55,60,208,0,208
2010,3,Gran Bretaña,68,66,101,13,248,0,248
2010,3,Irlanda,9,6,11,7,33,0,33
2010,3,Italia,35,59,91,18,203,0,203
2010,3,Suecia,7,14,18,0,39,0,39
2010,3,Noruega,3,6,5,0,14,0,14
2010,3,Dinamarca,0,8,19,0,27,0,27
2010,3,Finlandia,2,6,40,0,48,0,48
2010,3,Suiza,12,11,14,2,39,0,39
2010,3,Austria,10,9,13,5,37,0,37
2010,3,Rusia,8,19,13,1,41,0,41
2010,3,Países del Este,11,26,27,11,75,0,75
2010,3,Resto de Europa,26,54,33,22,135,0,135
2010,3,Estados Unidos,29,28,69,7,133,0,133
2010,3,Resto de América,14,171,136,38,359,0,359
2010,3,Resto del Mundo,72,88,97,52,309,0,309
2010,3,TOTAL,5114,4088,4541,831,14574,0,14574
2010,4,España,3897,3079,3077,363,10416,0,10416
2010,4,Holanda,22,4,39,6,71,0,71
2010,4,Bélgica,14,5,25,8,52,0,52
2010,4,Alemania,61,50,114,41,266,0,266
2010,4,Francia,32,48,115,43,238,0,238
2010,4,Gran Bretaña,29,71,68,4,172,0,172
2010,4,Irlanda,2,9,17,3,31,0,31
2010,4,Italia,16,49,86,28,179,0,179
2010,4,Suecia,3,7,5,5,20,0,20
2010,4,Noruega,9,1,13,1,24,0,24
2010,4,Dinamarca,5,11,6,0,22,0,22
2010,4,Finlandia,2,5,14,4,25,0,25
2010,4,Suiza,5,7,24,6,42,0,42
2010,4,Austria,5,11,1,0,17,0,17
2010,4,Rusia,1,13,14,4,32,0,32
2010,4,Países del Este,1,31,34,10,76,0,76
2010,4,Resto de Europa,7,34,47,13,101,0,101
2010,4,Estados Unidos,31,90,26,0,147,0,147
2010,4,Resto de América,8,129,139,30,306,0,306
2010,4,Resto del Mundo,86,128,116,28,358,0,358
2010,4,TOTAL,4236,3782,3980,597,12595,0,12595
2010,5,España,3665,3226,3308,430,10629,0,10629
2010,5,Holanda,22,1,24,6,53,0,53
2010,5,Bélgica,21,13,24,4,62,0,62
2010,5,Alemania,36,47,95,14,192,0,192
2010,5,Francia,17,39,54,32,142,0,142
2010,5,Gran Bretaña,30,52,62,0,144,0,144
2010,5,Irlanda,0,2,18,0,20,0,20
2010,5,Italia,14,39,83,14,150,0,150
2010,5,Suecia,9,8,9,3,29,0,29
2010,5,Noruega,5,9,8,3,25,0,25
2010,5,Dinamarca,1,2,7,0,10,0,10
2010,5,Finlandia,4,2,16,0,22,0,22
2010,5,Suiza,6,10,18,0,34,0,34
2010,5,Austria,8,8,1,0,17,0,17
2010,5,Rusia,2,18,13,0,33,0,33
2010,5,Países del Este,3,9,32,8,52,0,52
2010,5,Resto de Europa,29,123,44,6,202,0,202
2010,5,Estados Unidos,9,28,34,1,72,0,72
2010,5,Resto de América,4,90,140,23,257,0,257
2010,5,Resto del Mundo,25,119,104,14,262,0,262
2010,5,TOTAL,3910,3845,4094,558,12407,0,12407
2010,6,España,3558,3323,3593,384,10858,0,10858
2010,6,Holanda,13,4,17,1,35,0,35
2010,6,Bélgica,19,8,7,5,39,0,39
2010,6,Alemania,15,40,76,18,149,0,149
2010,6,Francia,11,48,39,16,114,0,114
2010,6,Gran Bretaña,36,72,68,5,181,0,181
2010,6,Irlanda,7,9,11,0,27,0,27
2010,6,Italia,6,49,80,33,168,0,168
2010,6,Suecia,1,4,2,0,7,0,7
2010,6,Noruega,3,2,4,0,9,0,9
2010,6,Dinamarca,0,9,4,1,14,0,14
2010,6,Finlandia,0,2,11,0,13,0,13
2010,6,Suiza,2,20,8,5,35,0,35
2010,6,Austria,0,3,2,0,5,0,5
2010,6,Rusia,4,7,2,3,16,0,16
2010,6,Países del Este,3,18,24,1,46,0,46
2010,6,Resto de Europa,1,91,55,9,156,0,156
2010,6,Estados Unidos,5,68,30,3,106,0,106
2010,6,Resto de América,6,228,155,14,403,0,403
2010,6,Resto del Mundo,38,141,103,19,301,0,301
2010,6,TOTAL,3728,4146,4291,517,12682,0,12682
2010,7,España,3241,2315,2871,322,8749,0,8749
2010,7,Holanda,15,13,26,0,54,0,54
2010,7,Bélgica,15,13,5,5,38,0,38
2010,7,Alemania,27,44,82,13,166,0,166
2010,7,Francia,30,48,34,33,145,0,145
2010,7,Gran Bretaña,27,48,39,11,125,0,125
2010,7,Irlanda,1,3,4,9,17,0,17
2010,7,Italia,24,76,58,35,193,0,193
2010,7,Suecia,6,4,2,0,12,0,12
2010,7,Noruega,2,13,8,0,23,0,23
2010,7,Dinamarca,2,2,19,0,23,0,23
2010,7,Finlandia,0,5,26,1,32,0,32
2010,7,Suiza,7,13,7,3,30,0,30
2010,7,Austria,4,4,11,3,22,0,22
2010,7,Rusia,2,6,6,0,14,0,14
2010,7,Países del Este,0,5,23,16,44,0,44
2010,7,Resto de Europa,11,46,26,5,88,0,88
2010,7,Estados Unidos,14,67,40,1,122,0,122
2010,7,Resto de América,11,243,148,28,430,0,430
2010,7,Resto del Mundo,35,142,85,22,284,0,284
2010,7,TOTAL,3474,3110,3520,507,10611,0,10611
2010,8,España,3210,1931,2110,244,7495,0,7495
2010,8,Holanda,0,2,13,0,15,0,15
2010,8,Bélgica,21,11,14,3,49,0,49
2010,8,Alemania,50,36,76,14,176,0,176
2010,8,Francia,66,49,62,38,215,0,215
2010,8,Gran Bretaña,45,37,53,0,135,0,135
2010,8,Irlanda,6,1,6,3,16,0,16
2010,8,Italia,91,66,218,47,422,0,422
2010,8,Suecia,4,18,6,0,28,0,28
2010,8,Noruega,4,15,1,0,20,0,20
2010,8,Dinamarca,0,21,4,0,25,0,25
2010,8,Finlandia,0,8,49,0,57,0,57
2010,8,Suiza,10,21,12,1,44,0,44
2010,8,Austria,19,5,6,0,30,0,30
2010,8,Rusia,8,12,12,0,32,0,32
2010,8,Países del Este,0,8,15,4,27,0,27
2010,8,Resto de Europa,19,32,44,14,109,0,109
2010,8,Estados Unidos,8,20,22,0,50,0,50
2010,8,Resto de América,25,237,152,22,436,0,436
2010,8,Resto del Mundo,140,185,68,15,408,0,408
2010,8,TOTAL,3726,2715,2943,405,9789,0,9789
2010,9,España,3139,2449,2873,281,8742,0,8742
2010,9,Holanda,17,3,24,1,45,0,45
2010,9,Bélgica,5,20,18,1,44,0,44
2010,9,Alemania,37,71,131,25,264,0,264
2010,9,Francia,15,25,45,25,110,0,110
2010,9,Gran Bretaña,13,51,54,3,121,0,121
2010,9,Irlanda,3,1,4,0,8,0,8
2010,9,Italia,8,93,65,27,193,0,193
2010,9,Suecia,0,7,7,15,29,0,29
2010,9,Noruega,0,1,4,0,5,0,5
2010,9,Dinamarca,1,3,3,3,10,0,10
2010,9,Finlandia,0,0,29,0,29,0,29
2010,9,Suiza,3,18,27,15,63,0,63
2010,9,Austria,0,3,9,1,13,0,13
2010,9,Rusia,1,3,4,0,8,0,8
2010,9,Países del Este,3,15,22,6,46,0,46
2010,9,Resto de Europa,8,34,80,10,132,0,132
2010,9,Estados Unidos,4,37,16,0,57,0,57
2010,9,Resto de América,12,199,131,14,356,0,356
2010,9,Resto del Mundo,31,59,82,9,181,0,181
2010,9,TOTAL,3300,3092,3628,436,10456,0,10456
2010,10,España,3880,3436,3670,309,11295,0,11295
2010,10,Holanda,6,11,34,3,54,0,54
2010,10,Bélgica,33,10,20,10,73,0,73
2010,10,Alemania,78,89,228,42,437,0,437
2010,10,Francia,19,50,70,32,171,0,171
2010,10,Gran Bretaña,37,65,88,3,193,0,193
2010,10,Irlanda,8,4,8,3,23,0,23
2010,10,Italia,27,74,76,28,205,0,205
2010,10,Suecia,2,3,34,0,39,0,39
2010,10,Noruega,4,16,29,0,49,0,49
2010,10,Dinamarca,6,5,23,3,37,0,37
2010,10,Finlandia,0,5,18,0,23,0,23
2010,10,Suiza,31,25,46,38,140,0,140
2010,10,Austria,0,13,25,3,41,0,41
2010,10,Rusia,10,7,35,4,56,0,56
2010,10,Países del Este,6,4,54,18,82,0,82
2010,10,Resto de Europa,83,57,57,11,208,0,208
2010,10,Estados Unidos,14,36,41,3,94,0,94
2010,10,Resto de América,10,124,181,30,345,0,345
2010,10,Resto del Mundo,41,145,104,30,320,0,320
2010,10,TOTAL,4295,4179,4841,570,13885,0,13885
2010,11,España,4049,3521,3988,384,11942,0,11942
2010,11,Holanda,12,21,33,15,81,0,81
2010,11,Bélgica,50,14,27,14,105,0,105
2010,11,Alemania,103,104,217,37,461,0,461
2010,11,Francia,56,63,98,49,266,0,266
2010,11,Gran Bretaña,64,92,135,8,299,0,299
2010,11,Irlanda,12,12,23,4,51,0,51
2010,11,Italia,47,114,99,33,293,0,293
2010,11,Suecia,6,5,50,0,61,0,61
2010,11,Noruega,0,23,14,1,38,0,38
2010,11,Dinamarca,6,11,28,0,45,0,45
2010,11,Finlandia,19,10,61,3,93,0,93
2010,11,Suiza,21,14,46,1,82,0,82
2010,11,Austria,4,4,12,5,25,0,25
2010,11,Rusia,12,9,16,5,42,0,42
2010,11,Países del Este,72,4,55,20,151,0,151
2010,11,Resto de Europa,10,62,98,11,181,0,181
2010,11,Estados Unidos,21,23,29,6,79,0,79
2010,11,Resto de América,0,142,127,29,298,0,298
2010,11,Resto del Mundo,118,237,97,28,480,0,480
2010,11,TOTAL,4682,4485,5253,653,15073,0,15073
2010,12,España,3304,2908,3218,527,9957,0,9957
2010,12,Holanda,18,10,55,24,107,0,107
2010,12,Bélgica,20,22,24,8,74,0,74
2010,12,Alemania,108,225,231,54,618,0,618
2010,12,Francia,44,61,109,127,341,0,341
2010,12,Gran Bretaña,68,115,213,27,423,0,423
2010,12,Irlanda,16,19,26,5,66,0,66
2010,12,Italia,46,55,135,54,290,0,290
2010,12,Suecia,9,9,32,0,50,0,50
2010,12,Noruega,2,28,25,3,58,0,58
2010,12,Dinamarca,8,16,26,0,50,0,50
2010,12,Finlandia,8,12,49,5,74,0,74
2010,12,Suiza,13,34,21,14,82,0,82
2010,12,Austria,8,9,14,3,34,0,34
2010,12,Rusia,3,9,26,0,38,0,38
2010,12,Países del Este,11,17,40,8,76,0,76
2010,12,Resto de Europa,11,147,76,0,234,0,234
2010,12,Estados Unidos,33,34,78,5,150,0,150
2010,12,Resto de América,20,207,173,32,432,0,432
2010,12,Resto del Mundo,28,90,146,30,294,0,294
2010,12,TOTAL,3778,4027,4717,926,13448,0,13448
2010,13,España,45513,36131,39250,4910,125804,0,125804
2010,13,Holanda,171,105,437,95,808,0,808
2010,13,Bélgica,237,153,216,79,685,0,685
2010,13,Alemania,713,1014,1713,466,3906,0,3906
2010,13,Francia,391,644,890,553,2478,0,2478
2010,13,Gran Bretaña,711,898,1176,121,2906,0,2906
2010,13,Irlanda,84,103,167,48,402,0,402
2010,13,Italia,397,823,1266,410,2896,0,2896
2010,13,Suecia,62,101,255,43,461,0,461
2010,13,Noruega,44,128,154,15,341,0,341
2010,13,Dinamarca,42,128,188,18,376,0,376
2010,13,Finlandia,39,92,410,18,559,0,559
2010,13,Suiza,134,219,270,97,720,0,720
2010,13,Austria,73,93,148,30,344,0,344
2010,13,Rusia,74,158,166,25,423,0,423
2010,13,Países del Este,117,189,396,148,850,0,850
2010,13,Resto de Europa,247,804,672,125,1848,0,1848
2010,13,Estados Unidos,224,509,440,43,1216,0,1216
2010,13,Resto de América,243,2209,1803,353,4608,0,4608
2010,13,Resto del Mundo,670,1637,1188,341,3836,0,3836
2010,13,TOTAL,50186,46138,51205,7938,155467,0,155467
2011,1,España,3715,2848,2714,346,9623,0,9623
2011,1,Holanda,19,10,43,10,82,0,82
2011,1,Bélgica,27,20,17,16,80,0,80
2011,1,Alemania,134,140,158,44,476,0,476
2011,1,Francia,68,70,75,53,266,0,266
2011,1,Gran Bretaña,83,153,170,38,444,0,444
2011,1,Irlanda,4,20,26,10,60,0,60
2011,1,Italia,56,148,130,47,381,0,381
2011,1,Suecia,10,17,43,5,75,0,75
2011,1,Noruega,4,28,21,4,57,0,57
2011,1,Dinamarca,2,12,15,11,40,0,40
2011,1,Finlandia,10,22,48,0,80,0,80
2011,1,Suiza,14,15,36,4,69,0,69
2011,1,Austria,16,7,9,6,38,0,38
2011,1,Rusia,4,10,29,0,43,0,43
2011,1,Países del Este,0,15,63,24,102,0,102
2011,1,Resto de Europa,12,28,86,11,137,0,137
2011,1,Estados Unidos,23,17,14,1,55,0,55
2011,1,Resto de América,8,105,126,32,271,0,271
2011,1,Resto del Mundo,95,47,62,25,229,0,229
2011,1,TOTAL,4304,3732,3885,687,12608,0,12608
2011,2,España,3366,3388,3162,445,10361,0,10361
2011,2,Holanda,0,8,53,13,74,0,74
2011,2,Bélgica,29,15,9,8,61,0,61
2011,2,Alemania,116,170,192,34,512,0,512
